id,first_name,gender,age,expected_years_left,total years,criminal,IQ,health,job,skill,race,university,country,drug_use,smoking,relative_bais,psychopath,no_of_dependant,no_of_pet,killer,contribution_to_humanity
456,Hazel,Female,33,20,53,0.0,58,1,Electrical Engineer,Easytrieve,Japanese,Oriental University,Russia,0,Monthly,0,1,0.0,3.0,0,0
457,Marlene,Female,39,17,56,0.0,102,1,VP Accounting,Tortoise CVS,Delaware,Xuzhou Normal University,China,0,0,0,0,0.0,5.0,0,0
458,Augustine,Female,33,23,56,0.0,103,0,Automation Specialist I,Alternative Investments,Guatemalan,Eastern Asia University,Thailand,0,0,0,0,5.0,0.0,0,0
459,Giulietta,Female,30,18,48,0.0,71,0,Mechanical Systems Engineer,Drilling,Panamanian,Universidad Austral Buenos Aires,Argentina,0,0,0,0,0.0,0.0,0,0
460,Fraser,Male,36,31,67,0.0,110,0,Research Nurse,Air Traffic Control,Navajo,Université de Technologie de Belfort Montbéliard,France,0,0,1,0,6.0,0.0,0,0
461,Arte,Male,40,17,57,0.0,137,0,Cost Accountant,CFK,Native Hawaiian,Universidad Nacional de Santa - Chimbote,Peru,0,0,0,0,0.0,3.0,0,0
462,Ingamar,Male,23,13,36,0.0,108,0,Staff Scientist,Immunology,White,Universidad Peruana Union,Peru,Daily,0,0,0,0.0,2.0,0,0
463,Dorene,Female,36,28,64,0.0,116,0,Business Systems Development Analyst,FBA,Salvadoran,Örebro University,Sweden,0,Daily,0,0,8.0,0.0,0,0
464,Sybilla,Female,30,27,57,0.0,68,0,Assistant Professor,Digital Photography,Apache,American University of Armenia,Armenia,Yearly,0,1,0,3.0,6.0,0,0
465,Shoshana,Female,19,19,38,0.0,129,1,Librarian,SAP MM,Laotian,Asian University of Science and Technology,Thailand,0,0,0,0,0.0,4.0,0,0
466,Alon,Male,34,20,54,0.0,107,0,VP Sales,LEED AP,Yakama,Mariano Marcos State University,Philippines,0,Never,0,0,0.0,0.0,0,0
467,Waldemar,Male,32,13,45,0.0,169,1,General Manager,ODBC,Cambodian,Modern University for the Humanities,Russia,0,Never,1,0,0.0,0.0,1,0
468,Marylee,Female,20,19,39,0.0,116,0,Paralegal,OTS,Menominee,University of Macedonia,Greece,Daily,0,0,1,0.0,0.0,0,0
469,Helenka,Female,31,26,57,0.0,106,0,Research Associate,Full SDLC,Pueblo,Academia Nacional Superior de Orquesta,Portugal,Weekly,0,0,0,3.0,2.0,0,0
470,Balduin,Male,37,14,51,0.0,132,1,Graphic Designer,Business Ethics,Hmong,"St. Petersburg State University of Information Technologies, Mechanics and Optics",Russia,0,0,0,0,4.0,0.0,0,0
471,Russ,Male,33,17,50,0.0,90,1,Design Engineer,Vital Signs,Bolivian,Universitas Riau,Indonesia,0,0,0,0,0.0,0.0,0,0
472,Arabel,Female,34,13,47,0.0,112,0,Budget/Accounting Analyst I,UV disinfection,Panamanian,Tver State University,Russia,0,Daily,0,0,0.0,4.0,0,0
473,Lisbeth,Female,26,20,46,0.0,92,0,Account Coordinator,RPG Free,Micronesian,Michael Okpara University of Agriculture,Nigeria,0,Never,0,0,0.0,1.0,0,0
474,Weidar,Male,34,14,48,0.0,78,0,Assistant Manager,Video Editing,Alaskan Athabascan,National Academy of Fine Arts,Norway,0,0,0,0,6.0,0.0,0,0
475,Hershel,Male,21,21,42,0.0,93,0,Systems Administrator II,CMBS,Costa Rican,University of the Philippines Los Banos,Philippines,0,0,0,0,0.0,0.0,0,0
476,Petunia,Female,20,15,35,0.0,110,0,Teacher,AOC,Chilean,International University Institute of Luxembourg,Luxembourg,0,0,0,0,0.0,2.0,0,0
477,Boothe,Male,29,21,50,0.0,97,1,Quality Engineer,LDI,Yuman,Ecole pour les Etudes et la Recherche en Informatique et Electronique,France,0,0,1,0,0.0,2.0,0,0
478,Annetta,Female,26,25,51,0.0,117,0,Budget/Accounting Analyst IV,CQT,Puget Sound Salish,Ho Chi Minh City University of Law,Vietnam,Often,Daily,0,1,6.0,0.0,0,0
479,Marcille,Female,37,17,54,0.0,110,0,Civil Engineer,Radio Promotions,Filipino,Sebatian Kolowa University College,Tanzania,0,Monthly,1,0,1.0,0.0,0,0
480,Hurleigh,Male,5,16,21,0.0,65,0,General Manager,Iron,Taiwanese,Instituto Superior de Ciências do Trabalho e da Empresa,Portugal,0,Never,0,0,1.0,0.0,0,0
481,Fulton,Male,24,19,43,0.0,70,0,General Manager,Non-profit Board Development,Delaware,Hebei University of Economics and Trade,China,0,0,0,0,0.0,3.0,0,0
482,Dorelle,Female,41,20,61,0.0,88,0,Staff Scientist,EKG,Eskimo,Nanjing University of Traditional Chinese Medicine,China,Yearly,0,0,0,3.0,0.0,0,0
483,Burnaby,Male,30,22,52,0.0,83,1,Automation Specialist IV,Data Integration,Korean,Zhengda Software College,China,0,0,0,0,0.0,4.0,0,0
484,Bertine,Female,32,25,57,0.0,107,0,Nuclear Power Engineer,Employee Management,Iroquois,Gotland University College,Sweden,0,0,0,0,4.0,1.0,0,0
485,Mathilde,Female,30,13,43,0.0,90,0,Editor,Segregation of Duties,Comanche,Jiangxi University of Finance and Economics,China,0,Seldom,1,0,1.0,4.0,0,0
486,Martino,Male,35,29,64,1.0,103,0,Project Manager,QFD,Pakistani,Beijing University of Chinese Medicine and Pharmacology,China,0,0,1,0,5.0,5.0,0,0
487,Raquel,Female,26,20,46,0.0,109,1,Community Outreach Specialist,Time-efficient,Chippewa,Vaal University of Technology,South Africa,Once,0,0,0,0.0,1.0,0,0
488,Travus,Male,30,22,52,0.0,115,1,VP Product Management,vShield,Peruvian,University College of Gävle,Sweden,0,Never,0,0,4.0,0.0,0,0
489,Ruben,Male,27,20,47,0.0,94,0,Graphic Designer,Hazard Analysis,Colville,Ecole des Hautes Etudes en Gestion Informatique et Communication,Morocco,Monthly,0,0,0,3.0,0.0,0,0
490,Patrizia,Female,16,28,44,0.0,76,0,Data Coordiator,Hospital Sales,Latin American Indian,Davao Doctors College,Philippines,Once,0,1,0,2.0,0.0,0,0
491,Edita,Female,20,17,37,0.0,136,1,Paralegal,Spot TV,Samoan,University of Zenica,Bosnia and Herzegovina,0,Once,1,0,0.0,0.0,0,0
492,Tristan,Male,31,28,59,0.0,141,0,Electrical Engineer,Troubleshooting,South American,Ningxia University,China,0,0,1,0,0.0,0.0,0,0
493,Quentin,Male,34,20,54,0.0,150,0,Budget/Accounting Analyst IV,SAP PS,Colville,Trisakti Institute of Tourism ,Indonesia,0,0,1,0,0.0,0.0,0,0
494,Aurelea,Female,34,13,47,0.0,96,0,Dental Hygienist,Yield Management,Apache,Fujian Agricultural University,China,0,0,1,0,4.0,3.0,0,0
495,Peyter,Male,22,1,23,0.0,80,1,Senior Cost Accountant,Wovens,Iroquois,Kumamoto Gakuen University,Japan,0,Monthly,0,0,2.0,3.0,0,0
496,Byrom,Male,35,25,60,0.0,88,0,Nuclear Power Engineer,Dysarthria,Crow,Universidad Bicentenaria de Aragua,Venezuela,Often,Once,0,0,1.0,7.0,0,0
497,Luce,Female,41,5,46,0.0,79,0,Dental Hygienist,MVT,Latin American Indian,Foundation University,Philippines,0,0,0,0,5.0,4.0,0,0
498,Ludwig,Male,33,20,53,0.0,91,0,Environmental Tech,Video over IP,Alaskan Athabascan,Taegu National University of Education,Marshall Islands,0,Often,0,0,4.0,6.0,0,0
499,Xerxes,Male,40,11,51,0.0,69,1,Software Consultant,TCR,Iroquois,I.M. Sechenov Moscow Medical Academy,Russia,0,0,0,0,0.0,1.0,0,0
500,Merridie,Female,36,9,45,0.0,117,0,Nurse,Fashion Illustration,Indonesian,Aegean University,Greece,0,0,0,0,0.0,2.0,0,0
501,Zondra,Female,34,12,46,0.0,110,0,Physical Therapy Assistant,Nutrition,Asian,University of Zagreb,Croatia,0,0,0,0,6.0,5.0,0,0
502,Bryce,Male,15,22,37,0.0,99,1,Chief Design Engineer,Guest Lecturing,Ottawa,Fujian Medical University,China,Never,0,0,0,6.0,0.0,0,0
503,Keane,Male,35,8,43,0.0,87,0,Senior Sales Associate,QC Tools,Houma,Université de La Rochelle,France,Monthly,Daily,0,0,4.0,0.0,0,0
504,Zilvia,Female,39,16,55,0.0,122,0,VP Sales,Attendance Management,Argentinian,"Academy of International Economic and Political Relations, Gdynia",Poland,Yearly,Monthly,0,0,1.0,2.0,0,0
505,Madelaine,Female,39,33,72,0.0,89,0,Computer Systems Analyst I,Lotus Domino,Aleut,Shanxi Normal University,China,Never,0,1,0,0.0,2.0,0,0
506,Correy,Female,27,10,37,0.0,134,0,Health Coach III,Dreamweaver,Iroquois,Universitas Trilogi,Indonesia,0,Never,0,0,7.0,0.0,0,0
507,Shauna,Female,43,24,67,0.0,84,1,Design Engineer,Geomatics,Alaska Native,University of Zululand,South Africa,Often,Once,0,0,5.0,1.0,0,0
508,Cherianne,Female,45,13,58,0.0,67,0,Sales Representative,Microsoft Office,Yakama,University of Science and Technology of China,China,0,0,0,0,0.0,3.0,0,0
509,Adey,Female,24,23,47,0.0,96,0,Technical Writer,LCD TV,Shoshone,Technological University (Maubin),Myanmar,0,0,0,0,4.0,1.0,0,0
510,Arman,Male,34,24,58,0.0,134,0,Human Resources Manager,SFE,Paiute,School of Design and Crafts,Sweden,0,Daily,0,0,3.0,0.0,0,0
511,Tamera,Female,29,25,54,0.0,94,0,Editor,Cisco UCS,Potawatomi,"Universidad Pedagógica Nacional ""Francisco Morazán""",Honduras,Monthly,Often,0,0,0.0,0.0,0,0
512,Dorise,Female,33,24,57,0.0,95,1,Actuary,Bluetooth,Paiute,Belarussian State University,Belarus,0,Yearly,0,0,0.0,0.0,0,0
513,Zaneta,Female,35,25,60,0.0,129,1,Media Manager I,Project Bidding,Choctaw,"Islamic Azad University, Qom",Iran,0,Daily,1,0,7.0,0.0,0,0
514,Georgiana,Female,30,9,39,0.0,98,1,Account Representative III,Global Health,Thai,Université de Bandundu Ville,Democratic Republic of the Congo,Yearly,Monthly,0,0,2.0,2.0,0,0
515,Wilburt,Male,32,28,60,0.0,109,0,Food Chemist,Toad,Choctaw,St. Francis Xavier University,Canada,0,Weekly,0,0,0.0,1.0,0,0
516,Johnath,Female,50,22,72,0.0,92,1,Recruiter,KnockoutJS,Puerto Rican,Shanghai Lixin University of Commerce,China,0,0,1,0,0.0,0.0,0,0
517,Keith,Male,36,23,59,1.0,83,0,Systems Administrator II,Transitional Justice,Micronesian,Universidad de Antioquía,Colombia,0,Never,0,0,0.0,2.0,0,0
518,Audrie,Female,32,23,55,1.0,104,0,Project Manager,IT Hardware Support,Aleut,Guizhou Normal University,China,0,Seldom,0,0,2.0,2.0,0,0
519,Barnard,Male,29,17,46,0.0,106,0,Data Coordiator,Agility,Seminole,Technical University of Radom,Poland,0,0,0,0,1.0,1.0,0,0
520,Rikki,Female,24,13,37,0.0,78,1,Marketing Assistant,Sun One LDAP,Lumbee,Silesian Technical University of Gliwice,Poland,0,0,0,1,0.0,4.0,0,0
521,Darci,Female,13,20,33,0.0,82,0,Human Resources Assistant I,GMF,Choctaw,University Canada West,Canada,0,0,1,0,8.0,0.0,0,0
522,Natalie,Female,2,12,14,0.0,55,0,Senior Sales Associate,SAP,Venezuelan,Ryazan State Pedagogical University,Russia,0,Often,1,0,0.0,6.0,0,0
523,Tamas,Male,37,15,52,0.0,95,0,Software Consultant,Quality System,Kiowa,Universidade São Judas Tadeu,Brazil,Monthly,0,1,0,0.0,0.0,0,0
524,Davey,Male,51,21,72,0.0,81,0,Compensation Analyst,IEC 61850,Venezuelan,Ahmadu Bello University,Nigeria,Monthly,Yearly,0,0,0.0,2.0,0,0
525,Erik,Male,33,8,41,1.0,130,0,Developer I,Doors,Chamorro,Nelson Mandela Metropolitan University,South Africa,Seldom,0,0,0,0.0,0.0,0,0
526,Christy,Male,25,22,47,0.0,85,0,Design Engineer,Urban,Colombian,Universitas Merdeka Madiun,Indonesia,0,0,0,0,0.0,1.0,0,0
527,Judye,Female,47,11,58,0.0,89,0,Analyst Programmer,Computer Games,Potawatomi,Taiz University,Yemen,Monthly,0,0,0,6.0,1.0,0,0
528,Joseph,Male,28,9,37,0.0,113,0,Data Coordiator,IP Cameras,Cree,Xinghai Conservatory of Music,China,0,Often,1,0,5.0,2.0,0,0
529,Branden,Male,29,19,48,0.0,118,0,Administrative Assistant III,HFC,Argentinian,Masaryk University,Czech Republic,0,0,0,0,6.0,0.0,0,0
530,Inna,Female,44,23,67,0.0,116,0,Senior Sales Associate,MSA,Bangladeshi,Universitas Widyatama,Indonesia,0,0,0,0,0.0,1.0,0,0
531,Deanne,Female,35,24,59,1.0,98,0,Financial Advisor,Tunneling,Tongan,University College of Borås,Sweden,0,Once,0,1,1.0,0.0,0,0
532,Darrel,Male,37,26,63,0.0,101,0,Help Desk Technician,iGaming,Honduran,Muhimbili University of Health and Allied Sciences (MUHAS),Tanzania,0,0,0,0,0.0,0.0,0,0
533,Cull,Male,17,19,36,0.0,74,0,Senior Developer,GNU Make,Shoshone,Ankara University,Turkey,0,0,1,0,0.0,0.0,0,1
534,Andrea,Male,31,6,37,1.0,126,0,Software Engineer III,Business Journalism,Colombian,Technical University of Gabrovo,Bulgaria,0,Once,1,0,1.0,0.0,0,0
535,Derward,Male,36,16,52,0.0,142,0,Health Coach IV,Algebra,Osage,Aga Khan University,Tanzania,0,0,0,0,4.0,0.0,1,0
536,Deanne,Female,33,10,43,0.0,103,0,Research Associate,HP Procurve,Shoshone,West Visayas State University,Philippines,0,0,1,0,0.0,2.0,0,0
537,Tedi,Female,28,22,50,0.0,125,0,Payment Adjustment Coordinator,JCR,Taiwanese,Purdue University North Central,United States,0,0,0,0,0.0,0.0,0,0
538,Skipper,Male,43,29,72,0.0,97,1,Nurse,Competitive Analysis,Chilean,Instituto Politecnico do Porto,Portugal,0,0,1,0,0.0,3.0,0,0
539,Derick,Male,38,13,51,0.0,113,0,Legal Assistant,General Aviation,Tohono O'Odham,Hefei University of Technology,China,0,Never,0,0,0.0,3.0,0,0
540,Shelba,Female,40,31,71,0.0,76,1,Web Developer II,Thermal Oxidation,Choctaw,Arellano University,Philippines,Once,Often,0,0,0.0,0.0,0,0
541,Margaux,Female,12,20,32,0.0,86,0,Account Coordinator,DLL,Latin American Indian,Turar Ryskulov Kazakh Economic University,Kazakhstan,0,Weekly,0,0,0.0,3.0,0,0
542,Lark,Female,41,21,62,0.0,130,0,Social Worker,Zen,Osage,Universidade Estadual de Ponta Grossa,Brazil,0,0,0,1,0.0,2.0,0,0
543,Nertie,Female,33,28,61,0.0,81,1,Electrical Engineer,RDBMS,Chickasaw,Alpha Omega University,Pakistan,Weekly,0,0,0,1.0,0.0,0,0
544,Rowe,Female,52,19,71,0.0,88,1,Staff Accountant I,PnL Management,Samoan,Hebei United University,China,Seldom,0,0,0,0.0,2.0,0,0
545,Elenore,Female,34,29,63,0.0,87,0,Financial Analyst,Major Gift Development,Taiwanese,Nankai University,China,Monthly,0,1,0,3.0,5.0,0,0
546,Jose,Male,21,15,36,0.0,110,0,VP Sales,Zend,Kiowa,"Pedagogical State University ""Ion Creanga""",Moldova,0,Never,0,0,4.0,0.0,0,0
547,Saundra,Female,41,11,52,0.0,90,0,Graphic Designer,Aerospace Engineering,Houma,Pokhara University,Nepal,0,0,0,1,0.0,1.0,0,0
548,Zea,Female,32,17,49,0.0,117,0,Help Desk Technician,Medical Illustration,Choctaw,Shanghai Second Medical University,China,Yearly,0,1,0,0.0,3.0,0,0
549,Emelia,Female,35,19,54,0.0,85,0,Sales Representative,Eyewonder,Houma,Tianjin University of Finance & Economics,China,0,0,0,0,6.0,0.0,0,0
550,Jonie,Female,38,22,60,0.0,80,0,Web Developer II,MBS,Samoan,Chongqing University,China,0,0,0,0,0.0,0.0,0,0
551,Rene,Male,35,33,68,0.0,114,1,Payment Adjustment Coordinator,Start-ups,Yaqui,Universitas Putera Batam,Indonesia,0,0,0,0,0.0,0.0,0,0
552,Devlen,Male,39,20,59,0.0,86,0,Chemical Engineer,VLDB,Mexican,Université Michel de Montaigne (Bordeaux III ),France,Monthly,0,0,0,2.0,0.0,0,0
553,Lenette,Female,34,17,51,0.0,122,1,Staff Scientist,New Hire Orientations,Panamanian,The University of Nottingham Ningbo China,China,Daily,Monthly,0,1,0.0,3.0,0,0
554,Devland,Male,34,21,55,0.0,105,0,Staff Scientist,Target Identification,Seminole,Xi'an University of Electronic Science and Technology,China,Never,0,0,0,8.0,0.0,0,0
555,Davy,Male,20,19,39,0.0,90,0,Pharmacist,XPAC,Salvadoran,Blue Mountain College,United States,0,Weekly,0,1,3.0,1.0,0,0
556,Chrissie,Male,22,27,49,0.0,110,1,Assistant Manager,NGN,Mexican,University of Science and Technology of China,China,0,0,1,0,0.0,0.0,0,0
557,Pernell,Male,35,19,54,1.0,136,0,Editor,HIPAA,American Indian and Alaska Native (AIAN),Université Française d'Égypte,Egypt,0,Monthly,0,0,0.0,0.0,0,0
558,Fayina,Female,32,24,56,0.0,74,0,Cost Accountant,MTT,Fijian,Yanbian University of Science and Technology,China,0,0,0,1,0.0,3.0,0,0
559,Clifford,Male,16,22,38,0.0,125,0,Information Systems Manager,HP Openview,Choctaw,Hanoi University of Science & Technology,Vietnam,0,0,0,0,3.0,4.0,0,0
560,Mahalia,Female,32,11,43,0.0,120,1,Clinical Specialist,Phase II Environmental Site Assessments,Paiute,Ebonyi State University,Nigeria,Never,0,0,0,1.0,1.0,0,0
561,Nat,Male,34,31,65,0.0,78,0,Account Executive,Direct Mail,Sioux,Yunnan Agriculture University,China,Seldom,0,0,0,2.0,2.0,0,0
562,Adda,Female,32,14,46,0.0,105,1,Software Consultant,Gx,Alaska Native,Central University for Nationalities,China,0,Once,0,0,0.0,2.0,0,0
563,Roderic,Male,39,7,46,0.0,116,1,Financial Advisor,21 CFR,Polynesian,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,Argentina,0,0,0,0,0.0,0.0,0,0
564,Lindsey,Female,24,30,54,0.0,123,1,Systems Administrator III,Quality Auditing,Paiute,Mid-Sweden University,Sweden,Yearly,0,1,0,0.0,2.0,0,0
565,Frederic,Male,27,27,54,0.0,98,0,Account Coordinator,WordPress,Delaware,Abfi Institute Perbanas Jakarta,Indonesia,0,Once,0,0,4.0,6.0,0,0
566,Stevana,Female,34,19,53,0.0,122,0,Dental Hygienist,WSPG,Central American,Universidad Panamericana,Guatemala,0,0,0,0,2.0,2.0,0,0
567,Gerrie,Male,31,18,49,0.0,71,0,Environmental Tech,Childhood Obesity,Asian Indian,Universitas Semarang,Indonesia,0,0,0,0,0.0,6.0,1,0
568,Bonni,Female,25,22,47,0.0,90,0,Analog Circuit Design manager,Business Alliances,Uruguayan,University of Zagreb,Croatia,0,Daily,0,1,5.0,0.0,0,0
569,Kalil,Male,34,22,56,0.0,95,0,Developer I,Program Management,Iroquois,Universitas Jambi,Indonesia,0,0,0,0,0.0,4.0,0,0
570,Harley,Female,40,15,55,0.0,115,1,Accountant III,IRS problem resolution,American Indian,Universitas Islam Bandung,Indonesia,0,Never,0,0,4.0,0.0,1,0
571,Cristionna,Female,49,21,70,0.0,108,1,Legal Assistant,UGS,Spaniard,Tsinghua University,China,0,Often,0,0,0.0,0.0,0,0
572,Margi,Female,43,15,58,0.0,109,0,Programmer III,NVivo,Cherokee,Athens Laboratory of Business Administration (ALBA),Greece,Weekly,0,0,0,0.0,0.0,0,0
573,Ealasaid,Female,31,20,51,0.0,142,0,Nuclear Power Engineer,HSR,Crow,Universidade Regional de Blumenau,Brazil,Daily,Never,0,0,3.0,0.0,0,0
574,Savina,Female,29,26,55,0.0,82,1,Software Test Engineer II,Nylon,Tlingit-Haida,Zhanjiang Ocean University,China,0,0,1,0,0.0,1.0,0,0
575,Domenico,Male,37,25,62,0.0,61,0,Business Systems Development Analyst,DFS,Thai,Moldova State University,Moldova,0,0,0,1,0.0,2.0,0,0
576,Nilson,Male,47,27,74,0.0,82,1,Assistant Professor,Chi Nei Tsang,Latin American Indian,City University Athens,Greece,0,Daily,1,0,3.0,1.0,0,0
577,Gray,Female,33,21,54,0.0,133,1,Recruiting Manager,MQSI,Chamorro,Zaman University,Cambodia,0,0,0,1,0.0,0.0,0,0
578,Amalee,Female,3,21,24,0.0,86,1,Senior Developer,GIMP,White,University of Veterinary and Pharmaceutical Science,Czech Republic,0,0,0,0,0.0,0.0,0,0
579,Ricard,Male,23,15,38,0.0,96,0,Executive Secretary,Short Sales,American Indian,"Rajamangala University of Technology, Lanna Chiang Rai",Thailand,Monthly,Yearly,1,0,0.0,0.0,0,0
580,Cassey,Female,33,16,49,0.0,103,0,Administrative Officer,Sales Presentations,Cherokee,Mountains of the Moon University,Uganda,Yearly,0,0,0,0.0,0.0,0,0
581,Orelee,Female,33,23,56,0.0,102,0,Web Designer II,Health Education,Korean,Huanghe Science & Technology University,China,0,0,0,0,1.0,0.0,0,0
582,Chelsie,Female,39,23,62,0.0,77,0,Payment Adjustment Coordinator,BBx,Polynesian,South China University,China,Daily,0,0,0,4.0,8.0,0,0
583,Aleksandr,Male,19,11,30,0.0,62,1,Mechanical Systems Engineer,Crisis Management,Chilean,University of Patras,Greece,0,0,0,0,0.0,4.0,0,0
584,Nissie,Female,38,29,67,0.0,124,1,Quality Control Specialist,Apache Ivy,Chippewa,Technical University of Szczecin,Poland,0,Often,0,0,0.0,8.0,0,0
585,Carilyn,Female,38,28,66,0.0,90,0,Geological Engineer,OCaml,Cheyenne,Uzhgorod National University,Ukraine,0,0,0,0,0.0,1.0,0,0
586,Trumaine,Male,43,25,68,0.0,123,0,Director of Sales,MbUnit,Apache,STMIK AMIKOM Yogyakarta,Indonesia,Once,0,0,0,0.0,2.0,0,0
587,Tamra,Female,28,11,39,0.0,90,1,Account Representative I,Visual Identity,Paraguayan,Universitas 17 Agustus 1945 Samarinda,Indonesia,0,Seldom,0,1,2.0,0.0,0,0
588,Katharyn,Female,28,8,36,0.0,74,1,Quality Control Specialist,NT 4.0,Potawatomi,Iwate University,Japan,Seldom,0,0,0,0.0,4.0,0,0
589,Judye,Female,23,16,39,1.0,81,0,Clinical Specialist,Two-way Radio,Yakama,Universidad Católica del Uruguay,Uruguay,0,0,0,0,0.0,0.0,0,1
590,Syman,Male,34,21,55,0.0,91,0,Senior Sales Associate,MCEV,Chickasaw,Universitas Katolik Soegijapranoto,Indonesia,0,0,0,0,5.0,1.0,0,0
591,Prescott,Male,36,26,62,0.0,104,1,Cost Accountant,Sports Psychology,Puget Sound Salish,Universidade Estadual de Montes Claros,Brazil,0,0,0,0,0.0,2.0,0,0
592,Dahlia,Female,31,26,57,0.0,64,0,Computer Systems Analyst III,RPAS,Navajo,Universidade Estadual do Vale do Acaraú,Brazil,0,0,0,1,0.0,1.0,0,0
593,Shanie,Female,22,20,42,0.0,102,0,Programmer Analyst II,Sketching,Seminole,Civil Aviation University of China,China,Daily,0,0,0,0.0,5.0,1,0
594,Andris,Male,38,19,57,0.0,122,0,Teacher,OMT,Choctaw,State University of New York College at Oneonta,United States,0,0,0,0,5.0,0.0,0,0
595,Phip,Male,30,12,42,0.0,103,1,Quality Engineer,Requirements Gathering,Aleut,Huachiew Chalermprakiet University,Thailand,0,Once,1,0,0.0,7.0,0,0
596,Cart,Male,30,17,47,0.0,98,0,Business Systems Development Analyst,EH&amp;S Compliance,Chippewa,University of Lancaster,United Kingdom,0,0,0,0,4.0,0.0,0,0
597,Sean,Female,18,15,33,0.0,67,1,Budget/Accounting Analyst III,HLASM,Bolivian,Yunnan Agriculture University,China,0,Monthly,0,0,5.0,2.0,0,0
598,Myer,Male,34,23,57,0.0,110,1,Nuclear Power Engineer,Organic Chemistry,Argentinian,Angeles University,Philippines,Once,0,0,1,4.0,0.0,0,0
599,Saleem,Male,24,30,54,0.0,139,0,Recruiter,iVantage,Central American,Universidade Eduardo Mondlane,Mozambique,0,0,0,0,0.0,0.0,0,0
600,Elwin,Male,8,13,21,0.0,119,1,Structural Analysis Engineer,Fitness,Bolivian,Universitas Islam Sultan Agung,Indonesia,0,0,0,0,5.0,3.0,0,0
601,Alexander,Male,28,30,58,0.0,112,0,Software Test Engineer II,ICD-9-CM,Eskimo,Dalian University,China,0,0,1,0,0.0,0.0,0,0
602,Deloris,Female,24,18,42,0.0,99,1,Administrative Assistant III,SSAS 2008,Pakistani,University of the Philippines Los Banos,Philippines,0,Never,0,1,0.0,2.0,0,0
603,Nancee,Female,25,24,49,0.0,123,1,Marketing Assistant,Affirmative Action,Shoshone,Gunma University,Japan,0,Daily,0,0,5.0,0.0,0,0
604,Ludvig,Male,30,24,54,0.0,84,0,Payment Adjustment Coordinator,Bylined Articles,Panamanian,Eritrea Institute of Technology,Eritrea,0,0,0,1,0.0,3.0,0,0
605,Nikoletta,Female,34,13,47,0.0,91,1,Sales Representative,JSLint,Cambodian,University of Pangasinan,Philippines,0,0,1,0,5.0,0.0,0,0
606,Pearce,Male,40,17,57,0.0,113,1,Sales Associate,Access Control,Cree,Ulyanovsk State Pedagogical University,Russia,0,Yearly,1,0,0.0,2.0,0,0
607,Kristian,Male,21,16,37,0.0,118,0,Sales Representative,NVU,Japanese,Shanghai Medical University,China,0,0,1,0,2.0,3.0,0,0
608,Edan,Male,17,19,36,0.0,45,0,VP Accounting,HR Metrics,Colville,Xinghai Conservatory of Music,China,Daily,Monthly,1,0,0.0,2.0,0,0
609,Aileen,Female,32,19,51,0.0,105,1,Senior Cost Accountant,TGI,Cambodian,Western Mindanao State University,Philippines,Monthly,Seldom,0,0,2.0,0.0,0,0
610,Miof mela,Female,48,11,59,0.0,117,1,Engineer IV,WSIB Claims Management,Bolivian,Beijing Institute of Technology,China,0,Never,0,1,3.0,0.0,0,0
611,Jeri,Female,31,17,48,0.0,124,0,GIS Technical Architect,Eblasts,Panamanian,Xi'an Academy of Fine Art,China,Often,0,0,0,9.0,2.0,0,0
612,Gray,Female,9,10,19,0.0,101,1,Marketing Assistant,Whole House Renovations,Japanese,Université de Bangui,Central African Republic,Yearly,0,0,0,2.0,1.0,0,0
613,Hermione,Female,30,22,52,0.0,102,1,Budget/Accounting Analyst II,Laptops,Menominee,Tokai Gakuen University,Japan,0,0,0,0,1.0,0.0,0,0
614,Tuesday,Female,31,29,60,0.0,71,0,Recruiting Manager,Big Data,Potawatomi,Universidad del Valle de Toluca,Mexico,Often,Daily,0,0,0.0,0.0,0,0
615,Clevie,Male,24,22,46,0.0,86,0,Dental Hygienist,Strategic Partnerships,Latin American Indian,Capital University of Medical Sciences,China,0,0,0,0,0.0,0.0,0,0
616,Ansell,Male,31,23,54,1.0,113,1,Payment Adjustment Coordinator,Capacity Building,Eskimo,Ecole Supérieure des Sciences et Technologie de l'Ingénieur de Nancy,France,Seldom,Yearly,0,0,7.0,5.0,0,0
617,Agna,Female,36,12,48,0.0,76,0,General Manager,JDE Enterprise One,Micronesian,Northwest Polytechnical University Xi'an,China,0,0,1,0,2.0,0.0,0,0
618,Austin,Female,33,24,57,0.0,110,1,Information Systems Manager,Youth Mentoring,Sioux,Politeknik Negeri Malang,Indonesia,0,0,0,0,0.0,0.0,0,0
619,Bald,Male,28,27,55,0.0,85,0,Professor,Hyperion EPM,Menominee,Martin University,United States,0,0,1,0,8.0,0.0,0,0
620,Ofella,Female,25,22,47,0.0,103,0,Assistant Media Planner,AX 2009,Cherokee,Universitas Islam Sumatera Utara,Indonesia,0,Often,0,1,0.0,4.0,0,0
621,Melonie,Female,44,20,64,0.0,150,0,Technical Writer,Music Publishing,Cherokee,Universitas Kristen Indonesia Tomohon,Indonesia,0,Never,0,0,4.0,2.0,0,0
622,Ingunna,Female,44,22,66,0.0,101,0,Web Designer III,Fit-out,Pima,Leyte State University ,Philippines,Once,Yearly,0,0,5.0,1.0,0,0
